RecordID,EmployeeID,Date,HoursWorked,Project,Task,Location,Billable,Rate,Cost
1,147,6/28/2024,6,ClientA,class,Hybrid,Yes,30,180
2,331,1/7/2025,7,ClientA,final,Hybrid,Yes,60,420
3,591,12/21/2023,7,ProjectX,tend,Hybrid,No,45,315
4,237,11/24/2024,8,CLIENT A,number,Hybrid,Yes,60,480
5,800,7/25/2025,9,Research,property,Remote,Yes,45,405
6,981,9/12/2025,9,Internal,sit,Onsite,No,60,540
7,608,10/20/2025,10,ProjectX,else,Hybrid,Yes,75,750
8,963,12/8/2023,10,Internal,employee,Hybrid,Yes,30,300
9,34,10/21/2025,10,Internal,nothing,Remote,Yes,45,450
10,81,3/22/2025,9,Internal,PM,Onsite,No,60,540
11,548,6/25/2025,7,Internal,develop,Hybrid,No,45,315
12,149,2/5/2024,9,Internal,support,Remote,Yes,60,540
13,859,4/6/2024,8,clienta,single,Remote,Yes,75,600
14,671,8/20/2024,6,Internal,product,Hybrid,No,60,360
15,71,2/15/2025,10,ClientA,production,Onsite,No,30,300
16,849,1/6/2024,8,CLIENT A,let,Onsite,No,45,360
17,121,4/12/2025,7,Internal,medical,Hybrid,No,45,315
18,658,10/22/2025,8,Research,sell,Remote,No,60,480
19,74,4/23/2025,9,Research,less,Onsite,No,30,270
20,373,11/15/2023,9,ClientA,how,Onsite,No,45,405
21,316,8/8/2025,6,ProjectX,color,Remote,No,75,450
22,352,10/31/2024,6,Internal,letter,Hybrid,Yes,60,360
23,107,8/16/2025,6,Research,care,Hybrid,No,30,180
24,791,5/12/2024,9,Research,growth,Hybrid,Yes,30,270
25,742,1/22/2024,6,Research,perform,Remote,No,75,450
26,252,3/11/2025,9,clienta,when,Onsite,No,75,675
27,622,10/21/2025,8,clienta,street,Remote,No,75,600
28,667,9/16/2025,8,Internal,level,Onsite,No,45,360
29,185,3/26/2024,10,ProjectX,month,Onsite,Yes,30,300
30,180,10/24/2024,7,Internal,concern,Hybrid,No,45,315
31,587,11/3/2024,8,clienta,capital,Onsite,Yes,45,360
32,663,5/18/2024,10,ProjectX,past,Hybrid,No,30,300
33,347,12/2/2023,9,clienta,accept,Remote,Yes,30,270
34,811,7/8/2025,7,Research,protect,Remote,No,30,210
35,560,11/17/2023,6,ClientA,bag,Hybrid,No,75,450
36,415,4/27/2025,10,Research,discussion,Remote,No,75,750
37,252,11/8/2024,8,ClientA,factor,Onsite,Yes,45,360
38,493,1/11/2025,10,CLIENT A,find,Hybrid,Yes,30,300
39,981,6/7/2025,6,Internal,enter,Remote,No,30,180
40,712,7/27/2024,9,Internal,believe,Onsite,Yes,45,405
41,852,7/30/2024,10,CLIENT A,choose,Onsite,No,75,750
42,875,10/1/2025,7,Research,third,Onsite,Yes,45,315
43,258,8/25/2025,7,ProjectX,eat,Onsite,No,75,525
44,216,12/8/2023,9,Internal,mouth,Remote,Yes,75,675
45,640,10/31/2024,8,clienta,party,Hybrid,No,75,600
46,58,4/29/2025,6,ProjectX,collection,Hybrid,No,45,270
47,171,1/23/2025,8,Internal,write,Onsite,Yes,60,480
48,370,10/5/2025,6,ClientA,wear,Onsite,Yes,60,360
49,374,1/8/2025,8,CLIENT A,week,Remote,Yes,60,480
50,851,11/11/2024,9,Internal,example,Onsite,No,60,540
51,380,5/27/2025,7,clienta,music,Hybrid,Yes,30,210
52,632,7/27/2024,10,Research,human,Onsite,Yes,45,450
53,331,4/21/2024,7,ProjectX,white,Onsite,No,30,210
54,122,6/18/2025,6,Internal,produce,Remote,No,60,360
55,69,4/26/2025,7,ProjectX,suggest,Remote,Yes,60,420
56,169,7/27/2025,8,Research,feel,Remote,No,60,480
57,746,9/16/2024,8,Internal,area,Hybrid,Yes,75,600
58,215,3/16/2025,6,CLIENT A,stuff,Onsite,No,45,270
59,94,4/28/2025,6,ProjectX,us,Remote,No,30,180
60,372,7/21/2025,7,ClientA,the,Hybrid,Yes,60,420
61,585,8/21/2025,6,Research,spend,Remote,No,45,270
62,792,11/22/2024,6,ProjectX,enjoy,Onsite,No,60,360
63,45,10/14/2024,7,CLIENT A,green,Hybrid,No,45,315
64,457,6/20/2025,10,Research,official,Onsite,No,45,450
65,113,5/22/2024,10,Research,or,Remote,No,45,450
66,132,5/15/2024,7,ClientA,bank,Onsite,No,45,315
67,997,11/16/2024,9,Internal,election,Hybrid,No,75,675
68,460,10/18/2024,6,CLIENT A,last,Onsite,No,30,180
69,993,3/18/2024,10,Internal,whether,Remote,No,60,600
70,477,9/19/2024,6,clienta,sign,Onsite,No,75,450
71,188,10/18/2024,10,ProjectX,choice,Remote,Yes,60,600
72,309,2/3/2025,7,CLIENT A,future,Remote,No,75,525
73,305,5/12/2025,8,Research,picture,Hybrid,No,60,480
74,730,6/9/2025,7,Research,whom,Hybrid,Yes,30,210
75,37,11/17/2024,9,ProjectX,audience,Onsite,No,45,405
76,961,6/30/2025,6,Internal,article,Onsite,No,75,450
77,563,12/26/2023,10,Internal,school,Hybrid,No,60,600
78,241,12/18/2024,8,CLIENT A,popular,Hybrid,Yes,30,240
79,84,3/15/2024,10,ProjectX,listen,Hybrid,Yes,60,600
80,245,12/18/2023,7,ClientA,she,Remote,Yes,45,315
81,98,6/14/2024,7,Internal,finish,Onsite,Yes,30,210
82,159,10/4/2025,9,CLIENT A,floor,Hybrid,Yes,30,270
83,469,7/22/2025,8,clienta,around,Remote,Yes,30,240
84,489,4/3/2024,6,Research,sport,Hybrid,No,60,360
85,191,6/2/2024,8,ClientA,grow,Onsite,Yes,45,360
86,601,4/10/2025,9,CLIENT A,hope,Remote,No,45,405
87,602,12/8/2023,7,Internal,focus,Remote,No,45,315
88,702,10/5/2024,7,clienta,part,Onsite,No,30,210
89,387,7/14/2025,7,clienta,investment,Hybrid,No,60,420
90,635,4/27/2025,6,Internal,market,Hybrid,Yes,45,270
91,973,2/17/2025,10,ProjectX,expert,Hybrid,Yes,30,300
92,634,6/9/2024,6,ProjectX,adult,Hybrid,No,75,450
93,208,10/19/2025,9,Research,test,Onsite,No,60,540
94,526,11/21/2023,7,clienta,human,Remote,Yes,45,315
95,253,3/14/2024,6,Research,sound,Onsite,No,45,270
96,465,10/28/2024,6,ProjectX,year,Remote,No,30,180
97,334,10/26/2025,9,ClientA,much,Onsite,Yes,60,540
98,790,6/10/2025,9,clienta,here,Hybrid,No,30,270
99,809,10/28/2024,7,ClientA,citizen,Remote,No,60,420
100,869,12/10/2023,7,clienta,water,Hybrid,No,75,525
101,1000,7/27/2024,7,Research,contain,Hybrid,No,30,210
102,982,11/3/2024,9,clienta,against,Hybrid,No,60,540
103,631,11/11/2024,10,clienta,trip,Remote,No,45,450
104,156,10/20/2024,9,ClientA,walk,Hybrid,Yes,45,405
105,69,3/10/2025,6,ProjectX,often,Remote,No,45,270
106,374,5/14/2025,9,ClientA,summer,Hybrid,Yes,75,675
107,515,7/1/2024,7,Internal,reach,Remote,Yes,30,210
